"","CustomerID","Age","CommuteTime","EducationYears","EmploymentLength","Gender","HouseholdSize","JobCategory","MaritalStatus","PoliticalPartyMem","Retired","TownSize","UnionMember","CardItemsMonthly","CardSpendMonth","CardTenure","CreditDebt","DebtToIncomeRatio","HHIncome","LoanDefault","OtherDebt","CarBrand","CarOwnership","CarsOwned","CarValue","HomeOwner","Internet","NumberBirds","NumberCats","NumberDogs","NumberPets","OwnsFax","OwnsGameSystem","OwnsMobileDevice","OwnsPC","ActiveLifestyle","NewsSubscriber","TVWatchingHours","Votes","CallerID","CallForward","CallingCard","CallWait","DataLastMonth","DataOverTenure","EquipmentLastMonth","EquipmentOverTenure","EquipmentRental","Multiline","Pager","PhoneCoTenure","Region","ThreeWayCalling","VM","VoiceLastMonth","VoiceOverTenure","WirelessData","CreditCard","EBilling","TotalDebt","AvgCardSpendMonth","AvgValuePerCar","TechOwnership","NumAddOns","CardSpendMonthScaled","DataOverTenureScaled","VoiceOverTenureScaled","HHIncomeScaled","CarValueScaled"
"1","3964-QJWTRG-NPN",20,22,15,0,"Female",3,"Professional","Unmarried","Yes","No",2,"Yes",5,816.6,2,1.200909,11.1,31000,"Yes",2.240091,"Domestic","Own",2,14300,"No",0,0,0,0,0,"No","Yes","Yes","No","No","No",13,"Yes","No","Yes","Yes","Yes",0,0,29.5,126.1,"Yes","Yes","Yes",5,1,"Yes","Yes",19.5,34.4,"No","Mast","No",3.441,163.32,7150,2,4,-1.04573004638979,-0.421561662771884,-0.68839879294239,-0.429047812098598,-0.590820807625192
"2","0648-AIPJSP-UVM",22,29,17,0,"Male",2,"Sales","Unmarried","Yes","No",5,"No",5,426,4,1.22202,18.6,15000,"Yes",1.56798,"Foreign","Own",2,6800,"Yes",4,0,0,0,6,"Yes","Yes","Yes","Yes","Yes","Yes",18,"No","Yes","Yes","Yes","No",45.65,1683.55,54.85,1975,"Yes","Yes","Yes",39,5,"No","Yes",26.7,330.6,"Yes","Visa","Yes",2.79,85.2,3400,4,3,-1.20527606233814,1.26030094676642,-0.385891853665913,-0.717973761760106,-0.97258168400076
"3","5195-TLUDJE-HVO",67,24,14,16,"Female",3,"Sales","Married","Yes","No",4,"No",9,1842.2,35,0.92862,9.9,35000,"No",2.53638,"Foreign","Own",3,18800,"Yes",0,0,2,1,3,"No","No","No","No","No","Yes",21,"No","No","No","Yes","No",0,0,0,0,"No","Yes","No",65,3,"No","No",85.2,1858.35,"No","Visa","No",3.465,204.688888888889,6266.66666666667,0,1,-0.626809426941182,-0.421561662771884,1.17438828299728,-0.356816324683221,-0.361764281799852
"4","4459-VLPQUH-3OL",23,38,16,0,"Male",5,"Sales","Married","No","No",3,"No",17,3409.9,5,0.0228,5.7,20000,"Yes",1.1172,"Foreign","Own",3,8700,"Yes",2,0,0,0,0,"No","Yes","Yes","Yes","Yes","Yes",26,"No","No","No","Yes","No",0,0,0,0,"No","Yes","No",36,4,"No","No",18,199.45,"No","Visa","Yes",1.14,200.582352941176,2900,3,1,0.0135394957475677,-0.421561662771884,-0.519834409662233,-0.627684402490885,-0.875868928652283
"5","8158-SMTQFB-CNO",26,32,16,1,"Male",4,"Sales","Married","No","No",2,"No",8,2551,8,0.214659,1.7,23000,"No",0.176341,"Foreign","Lease",1,10600,"No",3,0,0,0,0,"No","Yes","No","Yes","Yes","No",27,"No","Yes","Yes","Yes","Yes",19.05,410.8,0,0,"No","No","No",21,2,"Yes","Yes",9.15,74.1,"Yes","Disc","No",0.391,318.875,10600,2,2,-0.33729018448294,-0.0111733998760169,-0.647853467185212,-0.573510786929352,-0.779156173303806
"6","9662-FUSYIM-1IV",64,23,17,22,"Male",1,"Service","Unmarried","No","No",4,"No",11,2282.7,18,1.060584,5.6,107000,"No",4.931416,"Domestic","Own",0,25907.1507883633,"Yes",0,0,1,1,11,"No","No","No","No","No","No",21,"No","Yes","Yes","Yes","Yes",0,0,35.5,970.95,"Yes","No","Yes",28,4,"Yes","No",24.3,264.9,"No","Visa","No",5.992,207.518181818182,Inf,0,2,-0.446881060261081,-0.421561662771884,-0.452990793269102,0.943350448793565,0
"7","7432-QKQFJJ-K72",52,32,14,10,"Female",1,"Professional","Unmarried","No","No",5,"No",20,8223.2,3,0.501809,1.9,77000,"No",0.961191,"Domestic","Own",2,25600,"No",1,0,0,2,2,"No","No","Yes","Yes","No","No",19,"No","No","Yes","No","No",0,0,0,0,"No","No","No",15,2,"No","No",11.4,44.8,"No","Othe","No",1.463,411.16,12800,2,0,1.97959899027953,-0.421561662771884,-0.677777347403985,0.401614293178238,-0.01563442055267
"8","8959-RZWRHU-ST8",44,31,16,11,"Female",2,"Professional","Married","No","No",4,"No",6,5927,25,5.950368,14.4,97000,"No",8.017632,"Domestic","Own",1,55500,"Yes",0,0,0,2,10,"No","No","No","No","No","Yes",13,"Yes","Yes","Yes","Yes","Yes",0,0,0,0,"No","Yes","No",46,3,"Yes","No",44.55,612.7,"No","AMEX","No",13.968,987.833333333333,55500,0,2,1.04168408546489,-0.421561662771884,-0.0977851434366961,0.762771730255123,1.50631893993126
"9","9124-DZALHM-S6I",66,25,12,15,"Female",1,"Professional","Unmarried","Yes","Yes",3,"No",12,3265.9,26,0.102336,2.6,16000,"No",0.313664,"Foreign","Own",1,8600,"Yes",0,0,1,0,1,"No","No","No","No","Yes","No",25,"Yes","No","No","Yes","No",0,0,0,0,"No","Yes","No",53,2,"No","No",63.15,1074.35,"No","Mast","No",0.416,272.158333333333,8600,0,1,-0.0452793119753256,-0.421561662771884,0.37369469625603,-0.699915889906262,-0.880959073670624
"10","3512-MUWBGY-52X",47,29,11,19,"Male",2,"Labor","Unmarried","Yes","No",2,"No",11,1996.4,2,1.770216,4.1,84000,"No",1.673784,"Domestic","Own",4,41000,"Yes",0,0,1,0,1,"No","No","No","No","Yes","No",21,"Yes","No","No","No","No",0,0,0,0,"No","No","No",3,2,"No","No",10.95,20.05,"No","Othe","No",3.444,181.490909090909,10250,0,0,-0.563824287004583,-0.421561662771884,-0.703054345199707,0.528019396155147,0.768247912271829
