HighRetention,TreeSeg,kSeg,CommuteTime,HouseholdSize,TownSize,CardItemsMonthly,DebtToIncomeRatio,HHIncome,CarsOwned,TVWatchingHours,Region,TotalDebt,CardSpendMonth,CarValue,TechOwnership,NumAddOns
0,5,5,22,3,2,5,11.1,31000,2,13,1,3.441,816.6,14300,2,4
0,3,7,29,2,5,5,18.6,15000,2,18,5,2.79,426,6800,4,3
1,2,3,24,3,4,9,9.9,35000,3,21,3,3.465,1842.2,18800,0,1
0,5,4,38,5,3,17,5.7,20000,3,26,4,1.14,3409.9,8700,3,1
0,5,4,32,4,2,8,1.7,23000,1,27,2,0.391,2551,10600,2,2
0,2,3,23,1,4,11,5.6,107000,0,21,4,5.992,2282.7,25907.1507883633,0,2
0,1,2,32,1,5,20,1.9,77000,2,19,2,1.463,8223.2,25600,2,0
0,2,6,31,2,4,6,14.4,97000,1,13,3,13.968,5927,55500,0,2
0,2,2,25,1,3,12,2.6,16000,1,25,2,0.416,3265.9,8600,0,1
0,1,2,29,2,2,11,4.1,84000,4,21,2,3.444,1996.4,41000,0,0
0,3,2,17,1,1,11,8.6,47000,3,26,4,4.042,4889.7,28000,2,1
0,1,4,28,5,4,14,0.9,19000,2,27,2,0.171,3382.6,9300,0,0
0,2,2,25,1,2,12,2.8,73000,1,21,5,2.044,5343.6,38500,1,1
0,2,2,16,1,2,10,10.5,63000,0,21,3,6.615,5935,25907.1507883633,1,2
1,3,2,32,2,1,12,9.8,17000,1,24,2,1.666,2331.7,9300,3,1
1,3,7,14,2,1,9,9.3,23000,3,22,3,2.139,2974.7,11600,2,4
0,8,6,19,3,1,14,9.5,171000,2,17,1,16.245,3059.4,75800,4,3
1,2,8,29,2,2,10,10.7,424000,3,24,5,45.368,4957.5,88600,0,3
0,2,3,30,3,5,17,4.8,23000,0,16,5,1.104,4420.9,25907.1507883633,0,1
0,3,5,23,1,1,1,15.2,22000,2,22,1,3.344,81.1,10800,2,1
0,3,3,34,2,3,8,10.1,35000,4,25,3,3.535,2719.8,9400,3,2
0,3,7,29,2,4,8,9.3,28000,5,21,2,2.604,2677.1,15700,2,3
1,1,1,25,1,1,10,21.5,12000,3,13,4,2.58,2450.3,5800,2,0
0,3,7,29,1,4,17,15.7,29000,0,21,3,4.553,5566.1,25907.1507883633,3,4
0,8,6,32,4,3,12,11.3,130000,2,32,1,14.69,4537.4,49200,2,1
1,3,7,27,2,3,6,14.8,69000,1,22,4,10.212,2126.7,22800,3,4
0,5,4,27,6,4,14,11.7,24000,4,17,5,2.808,4476.7,9800,4,1
0,1,5,14,1,1,11,14,29000,0,13,2,4.06,2799.5,25907.1507883633,2,0
1,2,5,21,1,1,10,10.2,11000,2,23,3,1.122,1949.5,3100,0,1
0,1,3,24,1,3,11,15.5,30000,3,15,5,4.65,3009.7,13100,3,0
0,3,3,25,1,5,11,6.5,80000,4,25,3,5.2,3940.2,35000,2,1
